subject_id,domain,word,language,semantic,semantic.1,latency_ms,x_norm,y_norm,x_viz,y_viz,canvas_width,canvas_height,session_id,Hi_Read,Hi_Write,En_Read,En_Write,first_language,language_count,state_ut,age,gender,education,dominant_hand
10255,colours,gray,english,स्लेटी (ग्रे),स्लेटी (ग्रे),7860.0,0.8539682991291814,0.048737421413446,0.7079365982583627,-0.902525157173108,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,brown,english,भूरा,भूरा,7736.0,0.9050938123819828,0.9969040536305972,0.8101876247639654,0.9938081072611944,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,lion,english,शेर,शेर,3114.2,0.6126797041191738,1.0038699504925308,0.2253594082383476,1.0077399009850616,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,tiger,english,बाघ,बाघ,1989.2,0.6432661480427884,1.0038699504925308,0.2865322960855767,1.0077399009850616,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,girrafe,hinglish,जिराफ,जिराफ,2666.4,0.6983191904656382,0.712050104659664,0.3966383809312763,0.424100209319328,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,leapord,hinglish,तेंदुआ,तेंदुआ,3306.2,0.6850782945901784,1.0038699504925308,0.3701565891803569,1.0077399009850616,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,dolhin,hinglish,डॉल्फिन,डॉल्फिन,2273.4,1.0011849195815137,0.0030959574414727,1.0023698391630274,-0.9938080851170544,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,whale,english,व्हेल,व्हेल,1772.4,1.0014908032878072,0.0684258648057075,1.0029816065756143,-0.8631482703885849,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,shark,english,शार्क,शार्क,2051.6,1.0010876040019114,0.1350135593182181,1.0021752080038229,-0.7299728813635638,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,crcocdile,hinglish,मगरमच्छ,मगरमच्छ,2892.9,0.8886567987500069,0.213573881680797,0.7773135975000138,-0.5728522366384059,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,saprrow,hinglish,गौरैया,गौरैया,2714.4,0.2783463337968492,0.0030959574414727,-0.4433073324063015,-0.9938080851170544,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,crow,english,कौवा,कौवा,1414.1,0.416291831659915,0.0557033478008996,-0.1674163366801698,-0.8885933043982008,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,parrot,english,तोता,तोता,3190.8,0.2982226660604006,0.0498742129811199,-0.4035546678791987,-0.9002515740377601,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,peigien,hinglish,कबूतर,कबूतर,2531.8,0.3627625730079828,0.0498742129811199,-0.2744748539840342,-0.9002515740377601,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,owl,english,उल्लू,उल्लू,914.7,0.4116638272395646,0.0030959574414727,-0.1766723455208707,-0.9938080851170544,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,eagle,english,चील,चील,1957.4,0.3535150933348758,0.0042327785346665,-0.2929698133302483,-0.991534442930667,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,cow,english,गाय,गाय,1012.9,0.3287169506845092,0.6130030869484672,-0.3425660986309816,0.2260061738969343,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,buffaloe,hinglish,भैंस,भैंस,2745.3,0.3389364587459254,0.6922890284884176,-0.3221270825081491,0.3845780569768351,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,goat,english,बकरी,बकरी,1785.4,0.2968342127399522,0.6130030869484672,-0.4063315745200956,0.2260061738969343,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,sheep,english,भेड़,भेड़,2561.4,0.2772358818818625,0.6865324969221029,-0.4455282362362749,0.3730649938442059,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,zebra,english,जेब्रा,जेब्रा,3716.8,0.6993903440963122,0.5975232111645439,0.3987806881926243,0.1950464223290877,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,horse,english,घोड़ा,घोड़ा,2300.9,0.3112252321504795,0.5355553452272338,-0.377549535699041,0.0711106904544676,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,animals,ox,english,बैल,बैल,2156.5,0.3050094953209249,0.6826625279761221,-0.3899810093581501,0.3653250559522443,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
95712,foods,केला,hindi,केला,केला,9992.0,0.2791482742818656,0.7278212783438074,-0.4417034514362686,0.4556425566876148,812.0,557.1500244140625,2kupFqWyVgUTsqisMsI7,5,4,5,4,Hindi,2,Chhattisgarh,23,Male,17,Right
